"Soort misdrijf";"Perioden";"Regio's";"Geregisteerde misdrijven (aantal)"
"1.4.2 Moord, doodslag";"2013";"Friesland (PV)";114
"1.4.2 Moord, doodslag";"2014";"Friesland (PV)";104
"1.4.2 Moord, doodslag";"2015";"Friesland (PV)";76
"1.4.2 Moord, doodslag";"2016";"Friesland (PV)";96
"1.4.2 Moord, doodslag";"2017";"Friesland (PV)";90
"1.4.2 Moord, doodslag";"2018";"Friesland (PV)";66
"1.4.2 Moord, doodslag";"2013";"Drenthe (PV)";112
"1.4.2 Moord, doodslag";"2014";"Drenthe (PV)";100
"1.4.2 Moord, doodslag";"2015";"Drenthe (PV)";69
"1.4.2 Moord, doodslag";"2016";"Drenthe (PV)";80
"1.4.2 Moord, doodslag";"2017";"Drenthe (PV)";93
"1.4.2 Moord, doodslag";"2018";"Drenthe (PV)";68
"1.4.2 Moord, doodslag";"2013";"Overijssel (PV)";207
"1.4.2 Moord, doodslag";"2014";"Overijssel (PV)";182
"1.4.2 Moord, doodslag";"2015";"Overijssel (PV)";174
"1.4.2 Moord, doodslag";"2016";"Overijssel (PV)";166
"1.4.2 Moord, doodslag";"2017";"Overijssel (PV)";157
"1.4.2 Moord, doodslag";"2018";"Overijssel (PV)";134
"1.4.2 Moord, doodslag";"2013";"Flevoland (PV)";86
"1.4.2 Moord, doodslag";"2014";"Flevoland (PV)";99
"1.4.2 Moord, doodslag";"2015";"Flevoland (PV)";79
"1.4.2 Moord, doodslag";"2016";"Flevoland (PV)";83
"1.4.2 Moord, doodslag";"2017";"Flevoland (PV)";48
"1.4.2 Moord, doodslag";"2018";"Flevoland (PV)";68
"1.4.2 Moord, doodslag";"2013";"Gelderland (PV)";299
"1.4.2 Moord, doodslag";"2014";"Gelderland (PV)";273
"1.4.2 Moord, doodslag";"2015";"Gelderland (PV)";310
"1.4.2 Moord, doodslag";"2016";"Gelderland (PV)";273
"1.4.2 Moord, doodslag";"2017";"Gelderland (PV)";272
"1.4.2 Moord, doodslag";"2018";"Gelderland (PV)";240
"1.4.2 Moord, doodslag";"2013";"Utrecht (PV)";201
"1.4.2 Moord, doodslag";"2014";"Utrecht (PV)";177
"1.4.2 Moord, doodslag";"2015";"Utrecht (PV)";176
"1.4.2 Moord, doodslag";"2016";"Utrecht (PV)";175
"1.4.2 Moord, doodslag";"2017";"Utrecht (PV)";139
"1.4.2 Moord, doodslag";"2018";"Utrecht (PV)";155
"1.4.2 Moord, doodslag";"2013";"Noord-Holland (PV)";640
"1.4.2 Moord, doodslag";"2014";"Noord-Holland (PV)";644
"1.4.2 Moord, doodslag";"2015";"Noord-Holland (PV)";598
"1.4.2 Moord, doodslag";"2016";"Noord-Holland (PV)";533
"1.4.2 Moord, doodslag";"2017";"Noord-Holland (PV)";512
"1.4.2 Moord, doodslag";"2018";"Noord-Holland (PV)";520
"1.4.2 Moord, doodslag";"2013";"Zuid-Holland (PV)";823
"1.4.2 Moord, doodslag";"2014";"Zuid-Holland (PV)";808
"1.4.2 Moord, doodslag";"2015";"Zuid-Holland (PV)";833
"1.4.2 Moord, doodslag";"2016";"Zuid-Holland (PV)";862
"1.4.2 Moord, doodslag";"2017";"Zuid-Holland (PV)";785
"1.4.2 Moord, doodslag";"2018";"Zuid-Holland (PV)";671
"1.4.2 Moord, doodslag";"2013";"Zeeland (PV)";66
"1.4.2 Moord, doodslag";"2014";"Zeeland (PV)";60
"1.4.2 Moord, doodslag";"2015";"Zeeland (PV)";52
"1.4.2 Moord, doodslag";"2016";"Zeeland (PV)";46
"1.4.2 Moord, doodslag";"2017";"Zeeland (PV)";56
"1.4.2 Moord, doodslag";"2018";"Zeeland (PV)";65
"1.4.2 Moord, doodslag";"2013";"Noord-Brabant (PV)";454
"1.4.2 Moord, doodslag";"2014";"Noord-Brabant (PV)";471
"1.4.2 Moord, doodslag";"2015";"Noord-Brabant (PV)";439
"1.4.2 Moord, doodslag";"2016";"Noord-Brabant (PV)";441
"1.4.2 Moord, doodslag";"2017";"Noord-Brabant (PV)";436
"1.4.2 Moord, doodslag";"2018";"Noord-Brabant (PV)";433
"1.4.2 Moord, doodslag";"2013";"Limburg (PV)";267
"1.4.2 Moord, doodslag";"2014";"Limburg (PV)";234
"1.4.2 Moord, doodslag";"2015";"Limburg (PV)";248
"1.4.2 Moord, doodslag";"2016";"Limburg (PV)";187
"1.4.2 Moord, doodslag";"2017";"Limburg (PV)";232
"1.4.2 Moord, doodslag";"2018";"Limburg (PV)";199
"1.4.3 Openlijk geweld (persoon)";"2013";"Nederland";4689
"1.4.3 Openlijk geweld (persoon)";"2014";"Nederland";4234
